Tratamentos,COL,REP,S,  N,H'(loge)
PAN,1,1,1,2,0
PAN,1,2,0,0,0
PAN,1,3,0,0,0
PAN,1,4,1,1,0
PAN,1,5,1,1,0
PAN,1,6,0,0,0
PAN,1,7,1,1,0
PAN,1,8,2,2,0.6931
PAN,1,9,2,4,0.6931
PAN,1,10,3,4,1.04
PAN,1,11,1,1,0
PAN,1,12,0,0,0
PAN,1,13,0,0,0
PAN,1,14,0,0,0
PAN,1,15,0,0,0
PAN,1,16,3,4,1.04
PAN,1,17,1,2,0
PAN,1,18,3,3,1.099
PAN,1,19,1,1,0
PAN,1,20,0,0,0
PAN,2,1,3,13,0.911
PAN,2,2,4,13,1.032
PAN,2,3,2,15,0.673
PAN,2,4,4,7,1.352
PAN,2,5,3,33,0.6452
PAN,2,6,2,18,0.6931
PAN,2,7,4,23,1.073
PAN,2,8,6,28,1.047
PAN,2,9,2,39,0.1192
PAN,2,10,5,49,0.993
PAN,2,11,4,20,1.106
PAN,2,12,3,30,0.6804
PAN,2,13,2,28,0.5623
PAN,2,14,3,35,0.5824
PAN,2,15,4,51,0.7485
PAN,2,16,3,33,0.7598
PAN,2,17,4,77,0.7584
PAN,2,18,3,37,0.7606
PAN,2,19,5,54,0.8477
PAN,2,20,3,20,0.8865
PAN,3,1,3,13,0.8587
PAN,3,2,5,17,1.3
PAN,3,3,3,12,0.8877
PAN,3,4,2,10,0.6109
PAN,3,5,4,74,0.7867
PAN,3,6,2,5,0.5004
PAN,3,7,3,31,0.7161
PAN,3,8,3,19,0.708
PAN,3,9,2,50,0.593
PAN,3,10,3,85,0.7625
PAN,3,11,2,12,0.2868
PAN,3,12,2,35,0.4101
PAN,3,13,4,62,0.5135
PAN,3,14,4,16,0.8223
PAN,3,15,4,103,0.8158
PAN,3,16,2,3,0.6365
PAN,3,17,5,51,0.6793
PAN,3,18,2,3,0.6365
PAN,3,19,3,182,0.5378
PAN,3,20,5,87,1.038
PAN,4,1,4,19,0.7335
PAN,4,2,5,47,0.8742
PAN,4,3,5,25,0.9505
PAN,4,4,5,34,0.8564
PAN,4,5,6,26,1.212
PAN,4,6,4,26,1.077
PAN,4,7,4,17,0.8853
PAN,4,8,6,46,1.076
PAN,4,9,4,32,0.8329
PAN,4,10,6,70,0.8679
PAN,4,11,5,43,0.9066
PAN,4,12,7,27,1.495
PAN,4,13,4,39,0.4373
PAN,4,14,5,62,0.599
PAN,4,15,5,32,0.7319
PAN,4,16,5,21,1.204
PAN,4,17,4,36,0.7966
PAN,4,18,6,77,0.7923
PAN,4,19,7,37,0.8968
PAN,4,20,3,70,0.6268
PAN,5,1,5,14,1.27
PAN,5,2,6,10,1.696
PAN,5,3,3,4,1.04
PAN,5,4,5,8,1.386
PAN,5,5,2,11,0.586
PAN,5,6,2,10,0.3251
PAN,5,7,1,1,0
PAN,5,8,5,15,1.17
PAN,5,9,3,6,0.8676
PAN,5,10,0,0,0
PAN,5,11,3,3,1.099
PAN,5,12,2,8,0.5623
PAN,5,13,1,3,0
PAN,5,14,4,7,1.277
PAN,5,15,2,15,0.5799
PAN,5,16,6,11,1.54
PAN,5,17,2,5,0.5004
PAN,5,18,3,9,0.6837
PAN,5,19,1,5,0
PAN,5,20,2,6,0.4506
PAN,6,1,4,4,1.386
PAN,6,2,3,3,1.099
PAN,6,3,3,9,0.8487
PAN,6,4,6,12,1.676
PAN,6,5,2,4,0.5623
PAN,6,6,0,0,0
PAN,6,7,3,4,1.04
PAN,6,8,7,16,1.527
PAN,6,9,4,4,1.386
PAN,6,10,1,2,0
PAN,6,11,1,1,0
PAN,6,12,6,12,1.474
PAN,6,13,3,5,1.055
PAN,6,14,5,13,1.179
PAN,6,15,4,10,1.089
PAN,6,16,0,0,0
PAN,6,17,3,5,0.9503
PAN,6,18,6,10,1.498
PAN,6,19,2,4,0.6931
PAN,6,20,3,11,0.86
PAN,7,1,2,2,0.6931
PAN,7,2,3,8,0.9743
PAN,7,3,5,12,1.424
PAN,7,4,5,14,1.128
PAN,7,5,5,14,1.296
PAN,7,6,4,29,0.9695
PAN,7,7,4,25,0.7938
PAN,7,8,3,17,0.8687
PAN,7,9,3,6,0.8676
PAN,7,10,2,2,0.6931
PAN,7,11,4,10,0.9404
PAN,7,12,3,11,0.9348
PAN,7,13,3,12,1.011
PAN,7,14,5,21,0.8661
PAN,7,15,4,21,1.326
PAN,7,16,5,15,1.205
PAN,7,17,5,17,1.365
PAN,7,18,3,8,0.9743
PAN,7,19,5,12,1.314
PAN,7,20,4,9,1.273
SUG,1,1,2,2,0.6931
SUG,1,2,1,1,0
SUG,1,3,1,2,0
SUG,1,4,1,2,0
SUG,1,5,0,0,0
SUG,1,6,0,0,0
SUG,1,7,1,1,0
SUG,1,8,1,1,0
SUG,1,9,1,1,0
SUG,1,10,0,0,0
SUG,1,11,1,4,0
SUG,1,12,1,1,0
SUG,1,13,0,0,0
SUG,1,14,1,1,0
SUG,1,15,2,2,0.6931
SUG,1,16,1,1,0
SUG,1,17,0,0,0
SUG,1,18,0,0,0
SUG,1,19,0,0,0
SUG,1,20,1,2,0
SUG,2,1,1,1,0
SUG,2,2,0,0,0
SUG,2,3,3,6,0.8676
SUG,2,4,2,2,0.6931
SUG,2,5,2,2,0.6931
SUG,2,6,1,2,0
SUG,2,7,2,3,0.6365
SUG,2,8,0,0,0
SUG,2,9,0,0,0
SUG,2,10,2,2,0.6931
SUG,2,11,0,0,0
SUG,2,12,1,1,0
SUG,2,13,1,1,0
SUG,2,14,0,0,0
SUG,2,15,0,0,0
SUG,2,16,1,1,0
SUG,2,17,1,1,0
SUG,2,18,0,0,0
SUG,2,19,1,5,0
SUG,2,20,2,2,0.6931
SUG,3,1,0,0,0
SUG,3,2,1,2,0
SUG,3,3,1,2,0
SUG,3,4,0,0,0
SUG,3,5,1,1,0
SUG,3,6,0,0,0
SUG,3,7,1,1,0
SUG,3,8,0,0,0
SUG,3,9,0,0,0
SUG,3,10,0,0,0
SUG,3,11,0,0,0
SUG,3,12,0,0,0
SUG,3,13,0,0,0
SUG,3,14,1,1,0
SUG,3,15,0,0,0
SUG,3,16,0,0,0
SUG,3,17,1,1,0
SUG,3,18,0,0,0
SUG,3,19,0,0,0
SUG,3,20,0,0,0
SUG,4,1,0,0,0
SUG,4,2,2,2,0.6931
SUG,4,3,1,3,0
SUG,4,4,1,2,0
SUG,4,5,0,0,0
SUG,4,6,0,0,0
SUG,4,7,0,0,0
SUG,4,8,1,1,0
SUG,4,9,1,1,0
SUG,4,10,1,1,0
SUG,4,11,0,0,0
SUG,4,12,0,0,0
SUG,4,13,0,0,0
SUG,4,14,0,0,0
SUG,4,15,0,0,0
SUG,4,16,1,1,0
SUG,4,17,0,0,0
SUG,4,18,1,1,0
SUG,4,19,0,0,0
SUG,4,20,0,0,0
SUG,5,1,2,6,0.4506
SUG,5,2,0,0,0
SUG,5,3,0,0,0
SUG,5,4,0,0,0
SUG,5,5,0,0,0
SUG,5,6,0,0,0
SUG,5,7,1,1,0
SUG,5,8,0,0,0
SUG,5,9,0,0,0
SUG,5,10,0,0,0
SUG,5,11,1,1,0
SUG,5,12,0,0,0
SUG,5,13,1,2,0
SUG,5,14,1,3,0
SUG,5,15,1,4,0
SUG,5,16,0,0,0
SUG,5,17,0,0,0
SUG,5,18,1,5,0
SUG,5,19,0,0,0
SUG,5,20,1,3,0
SUG,6,1,1,3,0
SUG,6,2,0,0,0
SUG,6,3,1,3,0
SUG,6,4,1,2,0
SUG,6,5,1,1,0
SUG,6,6,1,3,0
SUG,6,7,1,9,0
SUG,6,8,1,16,0
SUG,6,9,1,2,0
SUG,6,10,2,10,0.6109
SUG,6,11,1,8,0
SUG,6,12,1,8,0
SUG,6,13,2,4,0.5623
SUG,6,14,1,27,0
SUG,6,15,1,13,0
SUG,6,16,1,11,0
SUG,6,17,1,6,0
SUG,6,18,1,23,0
SUG,6,19,1,9,0
SUG,6,20,1,15,0
SUG,7,1,1,4,0
SUG,7,2,1,4,0
SUG,7,3,1,13,0
SUG,7,4,1,9,0
SUG,7,5,2,37,0.3425
SUG,7,6,2,19,0.5763
SUG,7,7,2,53,0.3903
SUG,7,8,2,35,0.4101
SUG,7,9,2,28,0.4101
SUG,7,10,2,13,0.2712
SUG,7,11,1,9,0
SUG,7,12,1,19,0
SUG,7,13,1,19,0
SUG,7,14,2,21,0.4101
SUG,7,15,2,35,0.2925
SUG,7,16,2,24,0.5117
SUG,7,17,2,19,0.4362
SUG,7,18,2,23,0.2954
SUG,7,19,2,21,0.3145
SUG,7,20,1,15,0
